code,name,lat,lng,neighbours,weather_station
RL,Ruurlo,52.0810888,6.4492656,"['LTV', 'VD']",290
SPTN,Santpoort Noord,52.43388748169,4.6325001716614,"['DRH', 'SPTZ']",240
SPTZ,Santpoort Zuid,52.419723510742,4.6313886642456,"['BLL', 'SPTN']",240
SSH,Sassenheim,52.215278,4.517222,"['LEDN', 'NVP']",210
SWD,Sauwerd,53.29113,6.5404,"['BDM', 'GNN', 'WSM']",280
SGN,Schagen,52.784442901611,4.8052778244019,"['ANA', 'HWD']",249
SDA,Scheemda,53.1655362,6.9777775,"['WS', 'ZB']",280
SDM,Schiedam Centrum,51.921243812803,4.4089937210083,"['DTCP', 'RTD']",344
SOG,Schin op Geul,50.856388092041,5.8722224235535,"['KMR', 'VK']",380
SN,Schinnen,50.939167022705,5.8744444847107,"['NH', 'SBK']",380
SHL,Schiphol Airport,52.30944442749,4.7619442939758,"['ASDL', 'ASDZ', 'HFD']",240
STD,Sittard,51.001667022705,5.8586111068726,"['GLN', 'LUT', 'SRN']",380
SDT,Sliedrecht,51.829723358154,4.7783331871033,"['HBZM', 'SDTB']",348
SDTB,Sliedrecht Baanhoek,51.829722,4.743333,"['DDRS', 'SDT']",348
SK,Sneek,53.0328688,5.6523969,"['IJT', 'SKND']",270
SKND,Sneek Noord,53.0409319,5.6631808,"['MG', 'SK']",270
ST,Soest,52.173332214355,5.3099999427795,"['SD', 'STZ']",265
STZ,Soest Zuid,52.165279388428,5.3030557632446,"['DLD', 'ST']",265
SD,Soestdijk,52.183612823486,5.3000001907349,"['BRN', 'ST']",265
SBK,Spaubeek,50.94327,5.850529,"['GLN', 'SN']",380
STV,Stavoren,52.8865535,5.3600212,['KMW'],249
STM,Stedum,53.3262092,6.6875551,"['BDM', 'LP']",280
SWK,Steenwijk,52.791510992432,6.1145557632446,"['MP', 'WV']",280
SRN,Susteren,51.061389923096,5.8630557060242,"['EC', 'STD']",377
SM,Swalmen,51.23582,6.03228,"['RM', 'RV']",377
TG,Tegelen,51.33894,6.14253,"['RV', 'VL']",392
TBG,Terborg,51.9224549,6.3642466,"['GDR', 'VSV']",275
TL,Tiel,51.889446258545,5.4222221374512,"['KTR', 'TPSW']",265
TPSW,Tiel Passewaaij,51.873889923096,5.39222240448,"['GDM', 'TL']",260
TB,Tilburg,51.560554504395,5.0836110115051,"['HT', 'OT', 'TBU']",350
TBR,Tilburg Reeshof,51.573612213135,4.9944443702698,"['GZ', 'TBU']",350
TBU,Tilburg Universiteit,51.564985,5.051778,"['TB', 'TBR']",350
TWL,Twello,52.237777709961,6.0986108779907,"['APDO', 'DV']",275
UTG,Uitgeest,52.521667480469,4.7016668319702,"['CAS', 'HK', 'KMA']",249
UHZ,Uithuizen,53.4099568,6.6748869,"['UHM', 'UST']",280
UHM,Uithuizermeeden,53.4145845,6.7202975,"['RD', 'UHZ']",280
UST,Usquert,53.4014742,6.6093776,"['UHZ', 'WFM']",280
UT,Utrecht Centraal,52.088890075684,5.1102776527405,"['UTLR', 'UTO', 'UTVR', 'UTZL']",260
UTLR,Utrecht Leidsche Rijn,52.09896,5.06523,"['UT', 'UTT']",260
